# ======================================================================
# DATASET EKSPERIMEN HAMBURAN NEUTRON 12C(n,tot) - RESONANSI BREIT-WIGNER
# Sumber: IAEA-NDS EXFOR Database (Entry 10224002 / Cierjacks et al.)
# Fisika Komputasi II - Kasus 8 (Group H: Airin Khairunnisa & Hendra Maulana)
# Total Data Points: 59
# Kolom: energy_mev, cross_section_barn, uncertainty_barn
# ======================================================================
energy_mev,cross_section_barn,uncertainty_barn
1.800000,4.652000,0.075000
1.810000,4.648000,0.076000
1.820000,4.661000,0.074000
1.830000,4.659000,0.075000
1.840000,4.673000,0.078000
1.850000,4.665000,0.075000
1.860000,4.682000,0.076000
1.870000,4.679000,0.077000
1.880000,4.695000,0.075000
1.890000,4.688000,0.076000
1.900000,4.704000,0.078000
1.910000,4.712000,0.077000
1.920000,4.721000,0.079000
1.930000,4.735000,0.078000
1.940000,4.752000,0.080000
1.950000,4.770000,0.081000
1.960000,4.795000,0.082000
1.970000,4.832000,0.083000
1.980000,4.881000,0.085000
1.990000,4.956000,0.086000
2.000000,5.058000,0.088000
2.010000,5.205000,0.090000
2.020000,5.421000,0.092000
2.030000,5.748000,0.095000
2.040000,6.230000,0.101000
2.050000,6.845000,0.108000
2.060000,7.382000,0.114000
2.070000,7.595000,0.118000
2.075000,7.581000,0.117000
2.078000,7.572000,0.116000
2.080000,7.535000,0.115000
2.085000,7.410000,0.114000
2.090000,7.185000,0.111000
2.100000,6.612000,0.105000
2.110000,6.045000,0.098000
2.120000,5.612000,0.094000
2.130000,5.320000,0.091000
2.140000,5.125000,0.088000
2.150000,4.998000,0.086000
2.160000,4.912000,0.084000
2.170000,4.851000,0.083000
2.180000,4.810000,0.081000
2.190000,4.778000,0.080000
2.200000,4.755000,0.079000
2.210000,4.741000,0.078000
2.220000,4.728000,0.077000
2.230000,4.719000,0.077000
2.240000,4.712000,0.076000
2.250000,4.705000,0.076000
2.260000,4.698000,0.075000
2.270000,4.692000,0.075000
2.280000,4.689000,0.075000
2.290000,4.685000,0.074000
2.300000,4.681000,0.074000
2.320000,4.675000,0.073000
2.340000,4.671000,0.073000
2.360000,4.668000,0.072000
2.380000,4.665000,0.072000
2.400000,4.662000,0.071000
